category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal Adhesion	12/126	202/8347	0.0594059405940594	3.93540782649694	5.2283027378451	0.0000504753030795633	0.00739469736270269	0.00705301008649182	858/3082/857/7424/3908/5649/3918/3909/256076/7058/330/4233	12
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine Receptor Interaction	14/126	277/8347	0.0505415162454874	3.34817488969114	4.92034658763991	0.0000694337780535464	0.00739469736270269	0.00705301008649182	9235/6374/651/146433/650/355/1237/9180/3570/51561/6372/9573/4982/970	14
